TITLE="privet"
VARIABLES="x", "y", "z"
ZONE T="zone", I=100, J=100, F=POINT
-4.39823 -6.15752 5.86245e-014
-4.27257 -6.15752 1.01084e-013
-4.1469 -6.15752 1.71566e-013
-4.02124 -6.15752 2.86628e-013
-3.89557 -6.15752 4.71356e-013
-3.76991 -6.15752 7.62994e-013
-3.64425 -6.15752 1.21573e-012
-3.51858 -6.15752 1.90674e-012
-3.39292 -6.15752 2.94367e-012
-3.26726 -6.15752 4.47331e-012
-3.14159 -6.15752 6.6913e-012
-3.01593 -6.15752 9.85222e-012
-2.89026 -6.15752 1.42791e-011
-2.7646 -6.15752 2.03707e-011
-2.63894 -6.15752 2.86059e-011
-2.51327 -6.15752 3.9541e-011
-2.38761 -6.15752 5.37998e-011
-2.26195 -6.15752 7.20535e-011
-2.13628 -6.15752 9.49887e-011
-2.01062 -6.15752 1.23262e-010
-1.88495 -6.15752 1.57446e-010
-1.75929 -6.15752 1.97958e-010
-1.63363 -6.15752 2.44995e-010
-1.50796 -6.15752 2.98459e-010
-1.3823 -6.15752 3.57892e-010
-1.25664 -6.15752 4.22437e-010
-1.13097 -6.15752 4.90811e-010
-1.00531 -6.15752 5.61317e-010
-0.879644 -6.15752 6.31893e-010
-0.75398 -6.15752 7.00199e-010
-0.628317 -6.15752 7.63732e-010
-0.502653 -6.15752 8.19978e-010
-0.376989 -6.15752 8.66573e-010
-0.251325 -6.15752 9.01469e-010
-0.125662 -6.15752 9.23076e-010
1.93715e-006 -6.15752 9.30393e-010
0.125666 -6.15752 9.23076e-010
0.251329 -6.15752 9.01468e-010
0.376993 -6.15752 8.66572e-010
0.502657 -6.15752 8.19976e-010
0.62832 -6.15752 7.6373e-010
0.753984 -6.15752 7.00197e-010
0.879648 -6.15752 6.31891e-010
1.00531 -6.15752 5.61315e-010
1.13098 -6.15752 4.90809e-010
1.25664 -6.15752 4.22435e-010
1.3823 -6.15752 3.5789e-010
1.50797 -6.15752 2.98457e-010
1.63363 -6.15752 2.44994e-010
1.75929 -6.15752 1.97957e-010
1.88496 -6.15752 1.57445e-010
2.01062 -6.15752 1.23261e-010
2.13629 -6.15752 9.49879e-011
2.26195 -6.15752 7.20529e-011
2.38761 -6.15752 5.37993e-011
2.51328 -6.15752 3.95406e-011
2.63894 -6.15752 2.86057e-011
2.7646 -6.15752 2.03705e-011
2.89027 -6.15752 1.42789e-011
3.01593 -6.15752 9.85211e-012
3.1416 -6.15752 6.69122e-012
3.26726 -6.15752 4.47325e-012
3.39292 -6.15752 2.94363e-012
3.51859 -6.15752 1.90671e-012
3.64425 -6.15752 1.21571e-012
3.76991 -6.15752 7.62983e-013
3.89558 -6.15752 4.71349e-013
4.02124 -6.15752 2.86624e-013
4.14691 -6.15752 1.71563e-013
4.27257 -6.15752 1.01083e-013
4.39823 -6.15752 5.86235e-014
4.5239 -6.15752 3.34664e-014
4.64956 -6.15752 1.88056e-014
4.77522 -6.15752 1.04018e-014
4.90089 -6.15752 5.66332e-015
5.02655 -6.15752 3.03512e-015
5.15222 -6.15752 1.60112e-015
5.27788 -6.15752 8.31402e-016
5.40354 -6.15752 4.24953e-016
5.52921 -6.15752 2.13803e-016
5.65487 -6.15752 1.05883e-016
5.78053 -6.15752 5.16159e-017
5.9062 -6.15752 2.47675e-017
6.03186 -6.15752 1.16982e-017
6.15753 -6.15752 5.4388e-018
-6.28319 -6.03186 5.3537e-018
-6.15752 -6.03186 1.16985e-017
